iter	Logloss
0	0.6905218603
1	0.6878988999
2	0.6849951601
3	0.6825704183
4	0.6798161581
5	0.6764479268
6	0.6739371306
7	0.6711811138
8	0.6681912248
9	0.6662241331
10	0.6634445954
11	0.6608718065
12	0.6584458019
13	0.6558906204
14	0.6536550195
15	0.6511151118
16	0.6485866128
17	0.646058962
18	0.6437970628
19	0.6412609631
20	0.6390605747
21	0.63641824
22	0.6340708031
23	0.6317831698
24	0.6296007532
25	0.6268875957
26	0.6240510383
27	0.6216011627
28	0.6197153582
29	0.6175851642
30	0.6148874394
31	0.6129717687
32	0.6111819345
33	0.6091678123
34	0.6068531873
35	0.6047180023
36	0.6027315908
37	0.6005677667
38	0.598450331
39	0.5961497416
40	0.5940059572
41	0.5916685433
42	0.58985522
43	0.5872506845
44	0.5849743394
45	0.582436451
46	0.5798010716
47	0.5773431553
48	0.5756187732
49	0.5731425997
50	0.5707530211
51	0.5693788639
52	0.5672340561
53	0.5654613328
54	0.5631341771
55	0.5608951906
56	0.5586829628
57	0.5572600817
58	0.5545529531
59	0.5529549353
60	0.5506278772
61	0.5493436816
62	0.5471847759
63	0.545093508
64	0.5436070706
65	0.5419723151
66	0.5404348748
67	0.5382443383
68	0.5367896341
69	0.5350825729
70	0.5330147022
71	0.5312116612
72	0.5296472008
73	0.5279913521
74	0.5263003404
75	0.5245865958
76	0.5228302998
77	0.52137684
78	0.5195351921
79	0.5182512436
80	0.5161371707
81	0.5142465926
82	0.5126225362
83	0.5108855641
84	0.5091795618
85	0.5077711012
86	0.5065415487
87	0.5050858149
88	0.5029607833
89	0.5011036723
90	0.4995849906
91	0.498189593
92	0.4964526502
93	0.4952352287
94	0.4937179425
95	0.4922740796
96	0.4906198666
97	0.4890279953
98	0.4871184422
99	0.4856691707
100	0.4844554076
101	0.4829945271
102	0.4811443163
103	0.4797514831
104	0.4786622308
105	0.4769366254
106	0.4754541108
107	0.4737976246
108	0.4724352331
109	0.4710326892
110	0.4692260354
111	0.4677978105
112	0.4657443709
